//Nishimura

jan,title,status
9784103534419,コンビニ人間,0
9784167907829,火花,0
9784101001418,人間失格,0
9784062938426,ノルウェイの森 上,0
9784062938433,ノルウェイの森 下,1
9784041026407,君の膵臓をたべたい,0
9784041026223,旅猫リポート,0
9784101247649,流浪の月,1
9784344428522,ナミヤ雑貨店の奇蹟,0
9784062778299,蜜蜂と遠雷 上,0
9784062778305,蜜蜂と遠雷 下,1
9784087452063,夜は短し歩けよ乙女,0
9784041108271,かがみの孤城 上,0
9784041108288,かがみの孤城 下,2
9784041054059,そして、バトンは渡された,0
9784041045569,羊と鋼の森,0
9784575521256,告白,1
9784344426054,容疑者Xの献身,0
9784167909137,海賊とよばれた男 上,0
9784167909144,海賊とよばれた男 下,2
